,i_p,notes_p,score_p,i_v,notes_v,score_v
30,1,5,6,2,4,2
30,8,4,7,9,2,5
30,4,4,6,8,2,3
30,9,4,5,5,3,4
30,3,4,2,4,3,7
30,6,5,7,7,3,4
30,5,5,4,1,5,6
30,10,5,7,10,2,2
30,2,5,5,3,4,5
30,7,4,5,6,3,6
30,1,5,2,2,4,5
30,4,4,4,8,2,7
30,3,4,6,4,3,5
30,5,5,3,1,5,7
30,2,5,6,3,4,1
30,8,4,2,9,2,2
30,9,4,3,5,3,7
30,6,5,3,7,3,5
30,10,5,1,10,2,5
30,7,4,5,6,3,6
31,5,3,6,1,3,7
31,3,4,0,9,3,5
31,2,3,7,8,3,7
31,9,2,7,3,3,2
31,1,3,2,10,3,1
31,4,3,7,5,4,2
31,8,4,5,2,4,1
31,6,3,6,4,3,6
31,7,4,1,6,4,2
31,10,2,4,7,2,4
31,5,3,3,1,3,1
31,2,3,0,8,3,6
31,1,3,6,10,3,4
31,8,4,4,2,4,6
31,7,4,7,6,4,7
31,3,4,5,9,3,1
31,9,2,6,3,3,4
31,4,3,1,5,4,4
31,6,3,3,4,3,7
31,10,2,4,7,2,4
32,1,2,6,1,4,1
32,8,5,5,8,3,3
32,6,4,2,5,5,2
32,3,3,4,9,4,4
32,4,4,6,10,4,4
32,10,4,0,2,3,4
32,9,4,4,3,3,3
32,5,3,3,7,4,2
32,2,2,5,6,5,6
32,7,5,5,4,4,5
32,1,2,4,1,4,6
32,6,4,1,5,5,1
32,4,4,6,10,4,2
32,9,4,7,3,3,5
32,2,2,6,6,5,4
32,8,5,3,8,3,5
32,3,3,5,9,4,2
32,10,4,4,2,3,7
32,5,3,2,7,4,7
32,7,5,5,4,4,5
33,1,3,6,1,4,4
33,8,4,5,7,4,7
33,6,5,2,2,4,1
33,3,3,5,4,2,4
33,10,2,6,3,3,7
33,4,4,2,8,3,5
33,2,3,5,9,3,2
33,7,4,2,5,4,7
33,5,5,4,6,5,5
33,9,3,7,10,3,6
33,1,3,4,1,4,7
33,6,5,3,2,4,4
33,10,2,7,3,3,1
33,2,3,3,9,3,7
33,5,5,1,6,5,2
33,8,4,3,7,4,7
33,3,3,4,4,2,7
33,4,4,3,8,3,3
33,7,4,1,5,4,1
33,9,3,7,10,3,6
34,1,4,5,2,4,2
34,7,3,2,5,4,2
34,5,3,6,9,3,1
34,3,5,3,3,4,3
34,8,3,6,7,4,5
34,2,4,4,10,2,5
34,6,4,3,6,5,4
34,9,4,6,8,5,7
34,4,3,6,4,3,5
34,10,5,7,1,3,7
34,1,4,3,2,4,2
34,5,3,1,9,3,6
34,8,3,5,7,4,2
34,6,4,1,6,5,6
34,4,3,3,4,3,4
34,7,3,7,5,4,4
34,3,5,0,3,4,2
34,2,4,7,10,2,6
34,9,4,0,8,5,1
34,10,5,7,1,3,7
35,2,3,6,6,5,5
35,8,3,2,3,4,4
35,10,2,6,2,4,2
35,4,4,4,9,4,2
35,3,3,2,5,5,3
35,6,4,3,8,5,1
35,9,2,4,1,4,4
35,5,4,3,7,5,5
35,1,3,5,10,5,4
35,7,3,5,4,4,6
35,2,3,7,6,5,6
35,10,2,5,2,4,2
35,3,3,5,5,5,6
35,9,2,7,1,4,6
35,1,3,6,10,5,2
35,8,3,7,3,4,1
35,4,4,1,9,4,5
35,6,4,7,8,5,4
35,5,4,2,7,5,7
35,7,3,5,4,4,6
36,2,3,2,1,4,6
36,4,5,6,10,5,5
36,10,1,2,6,2,2
36,8,4,6,7,3,4
36,1,3,5,8,4,5
36,7,4,6,9,5,2
36,6,2,3,2,5,2
36,9,1,4,5,2,4
36,5,3,6,4,3,4
36,3,4,0,3,3,7
36,2,3,7,1,4,4
36,10,1,7,6,2,4
36,1,3,4,8,4,5
36,6,2,7,2,5,1
36,5,3,5,4,3,4
36,4,5,7,10,5,5
36,8,4,4,7,3,6
36,7,4,1,9,5,2
36,9,1,5,5,2,4
36,3,4,0,3,3,7
37,2,4,6,6,4,4
37,8,3,7,1,4,7
37,4,4,1,9,4,1
37,6,3,4,3,3,4
37,1,4,7,5,4,3
37,10,3,4,8,3,4
37,5,4,4,7,2,7
37,9,3,5,2,3,1
37,3,4,7,4,2,4
37,7,3,5,10,3,5
37,2,4,2,6,4,7
37,4,4,2,9,4,2
37,1,4,3,5,4,7
37,5,4,6,7,2,7
37,3,4,3,4,2,5
37,8,3,5,1,4,7
37,6,3,3,3,3,7
37,10,3,0,8,3,5
37,9,3,1,2,3,4
37,7,3,5,10,3,5
38,1,2,5,1,3,6
38,7,5,1,10,5,1
38,10,3,6,5,3,4
38,4,4,4,3,4,1
38,3,2,2,9,3,4
38,6,5,3,4,3,1
38,9,3,4,2,5,7
38,5,4,3,7,3,2
38,2,2,6,6,4,4
38,8,5,6,8,4,1
38,1,2,7,1,3,6
38,10,3,5,5,3,2
38,3,2,5,9,3,2
38,9,3,7,2,5,6
38,2,2,5,6,4,5
38,7,5,3,10,5,2
38,4,4,1,3,4,4
38,6,5,7,4,3,7
38,5,4,1,7,3,4
38,8,5,6,8,4,1
39,2,4,6,6,4,5
39,8,5,5,3,4,7
39,6,4,1,1,5,1
