,age,csp,gen,td1,td2,td3,td4,s_p_ms_1,s_p_ms_2,s_p_ms_3,s_p_ms_4,s_p_ms_5,s_p_ms_6,s_p_ms_7,s_p_ms_8,s_p_ms_9,s_p_mm_1,s_p_mm_2,s_p_mm_3,s_p_mm_4,s_p_ss_1,s_p_ss_2,s_p_ss_3,s_p_ss_4,s_v_ms_1,s_v_ms_2,s_v_ms_3,s_v_ms_4,s_v_ms_5,s_v_ms_6,s_v_ms_7,s_v_ms_8,s_v_ms_9,s_v_mm_1,s_v_mm_2,s_v_mm_3,s_v_mm_4,s_v_ss_1,s_v_ss_2,s_v_ss_3,s_v_ss_4,n_p_ms_1,n_p_ms_2,n_p_ms_3,n_p_ms_4,n_p_ms_5,n_p_ms_6,n_p_ms_7,n_p_ms_8,n_p_ms_9,n_p_mm_1,n_p_mm_2,n_p_mm_3,n_p_mm_4,n_p_ss_1,n_p_ss_2,n_p_ss_3,n_p_ss_4,n_v_ms_1,n_v_ms_2,n_v_ms_3,n_v_ms_4,n_v_ms_5,n_v_ms_6,n_v_ms_7,n_v_ms_8,n_v_ms_9,n_v_mm_1,n_v_mm_2,n_v_mm_3,n_v_mm_4,n_v_ss_1,n_v_ss_2,n_v_ss_3,n_v_ss_4
30,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:20.000000000,0 days 00:00:39.000000000,0 days 00:00:45.000000000,0 days 00:00:26.000000000,3,0,1,2,1,3,1,2,1,3,1,2,1,1,1,2,1,2,2,2,2,1,2,3,2,3,2,3,1,3,3,2,2,2,-1,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,1,0,-1,-1,0,1,0,0,1,-1,1,-1,1,0,-1,-1,1,1,-1
31,18-25 ans,"Élèves, étudiants",Homme,0 days 00:00:58.000000000,0 days 00:00:45.000000000,0 days 00:01:05.000000000,0 days 00:00:26.000000000,2,2,1,2,2,2,1,1,1,2,1,2,2,1,0,3,0,3,3,2,1,3,2,3,2,2,1,3,2,1,1,2,2,2,-1,1,-1,-1,1,0,1,-1,1,1,-1,1,0,1,0,1,0,-1,1,0,0,0,1,0,-1,1,0,0,1,-1,1,0,1,0
32,18-25 ans,"Élèves, étudiants",Homme,0 days 00:01:24.000000000,0 days 00:00:54.000000000,0 days 00:00:49.000000000,0 days 00:00:41.000000000,3,0,1,3,1,3,1,3,1,3,2,2,2,1,2,2,2,2,2,2,3,1,2,1,1,2,3,2,2,2,1,2,3,3,1,0,-1,-1,1,0,0,-1,-1,1,-1,1,-1,-1,0,0,-1,0,-1,1,-1,0,-1,0,1,1,-1,1,-1,1,1,-1,-1,1
33,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:33.000000000,0 days 00:00:29.000000000,0 days 00:01:19.000000000,0 days 00:00:26.000000000,2,1,1,3,2,3,2,3,2,3,2,1,1,2,1,1,1,2,3,2,2,1,1,2,3,1,3,2,2,2,2,1,3,2,0,1,1,-1,-1,1,-1,1,1,1,-1,1,0,1,-1,1,1,-1,1,0,-1,1,0,0,1,1,0,-1,1,1,1,-1,0,1
34,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:07.000000000,0 days 00:00:35.000000000,0 days 00:02:18.000000000,0 days 00:00:34.000000000,1,2,2,2,2,3,2,2,2,3,2,1,2,2,2,1,2,1,3,3,3,1,3,1,3,2,3,2,3,2,1,3,2,2,1,-1,0,1,-1,1,0,0,-1,-1,1,-1,0,-1,0,1,-1,-1,1,-1,1,0,-1,1,0,-1,0,0,-1,1,0,1,1,-1
35,18-25 ans,"Élèves, étudiants",Homme,0 days 00:01:35.000000000,0 days 00:00:50.000000000,0 days 00:02:08.000000000,0 days 00:00:30.000000000,3,0,2,3,1,3,2,3,1,3,1,2,1,2,2,1,2,2,1,1,2,3,2,3,3,3,3,3,2,1,2,3,3,2,0,0,-1,1,-1,1,-1,1,-1,0,1,0,0,-1,1,-1,1,-1,0,0,0,1,0,-1,1,0,-1,0,1,0,0,1,-1,1
36,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:52.000000000,0 days 00:00:49.000000000,0 days 00:01:57.000000000,0 days 00:00:50.000000000,1,1,3,2,3,3,1,2,3,2,1,0,1,2,1,2,1,2,3,1,2,1,2,2,3,1,2,3,3,3,3,3,2,2,1,1,-1,1,-1,1,-1,-1,1,1,-1,0,-1,-1,1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,-1,1,-1,-1,1,1,-1
37,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:20.000000000,0 days 00:00:39.000000000,0 days 00:02:49.000000000,0 days 00:00:16.000000000,3,0,1,2,2,1,2,3,1,3,1,1,1,1,2,1,2,1,2,1,3,2,2,1,2,2,2,2,1,2,1,3,1,2,-1,0,1,-1,1,-1,1,-1,1,-1,0,0,0,1,0,0,0,-1,1,0,-1,1,-1,-1,1,-1,0,-1,0,0,1,0,-1,0
38,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:06.000000000,0 days 00:01:14.000000000,0 days 00:01:34.000000000,0 days 00:00:43.000000000,3,0,2,3,1,3,2,3,1,3,1,2,1,2,2,1,2,3,2,2,2,3,3,2,2,2,2,3,1,2,2,3,2,2,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,0,1,-1,1,1,-1,-1,0,-1,0,1,-1
39,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:34.000000000,0 days 00:00:48.000000000,0 days 00:01:16.000000000,0 days 00:00:21.000000000,2,1,1,2,1,2,2,2,1,3,1,3,2,2,3,2,3,1,2,2,3,1,2,2,1,2,3,1,2,3,3,3,3,2,1,0,-1,1,0,-1,1,-1,0,1,0,-1,0,-1,1,0,-1,1,-1,1,0,-1,-1,-1,1,1,0,1,-1,0,0,-1,-1,1
40,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:53.000000000,0 days 00:02:42.000000000,0 days 00:01:08.000000000,0 days 00:00:27.000000000,1,2,1,3,2,3,1,3,2,3,2,1,2,3,1,2,1,3,1,3,2,2,2,3,3,1,2,2,3,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,-1,0,1,-1,0,-1,1,-1,0,1,0,1,-1
41,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:02.000000000,0 days 00:01:51.000000000,0 days 00:02:02.000000000,0 days 00:00:29.000000000,2,1,1,3,2,3,1,2,3,3,2,1,1,2,1,2,1,3,2,1,3,1,3,2,2,2,3,2,3,2,2,3,3,2,-1,-1,1,1,0,-1,0,1,-1,-1,1,-1,1,0,1,-1,0,0,-1,1,1,-1,0,0,1,0,-1,1,-1,1,-1,0,0,1
42,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:04.000000000,0 days 00:00:39.000000000,0 days 00:01:21.000000000,0 days 00:00:37.000000000,2,0,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,3,1,2,1,2,3,2,3,1,1,2,3,1,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,0,0,0,1,0,-1,1,-1,1,0,0,0,1,1,-1,0,-1,-1,1,0
43,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:19.000000000,0 days 00:00:39.000000000,0 days 00:01:13.000000000,0 days 00:00:26.000000000,1,2,1,3,1,3,0,3,2,3,2,2,3,1,2,3,1,1,1,3,2,1,3,3,2,2,2,3,3,1,3,1,1,2,-1,1,0,0,-1,1,0,-1,1,-1,0,1,-1,1,-1,1,-1,-1,0,-1,1,-1,1,-1,1,-1,-1,1,0,-1,-1,1,-1,1
44,18-25 ans,"Élèves, étudiants",Autre,0 days 00:01:36.000000000,0 days 00:00:51.000000000,0 days 00:01:28.000000000,0 days 00:00:31.000000000,2,1,2,3,2,3,1,3,2,3,1,1,2,1,1,2,1,2,2,2,3,2,2,2,3,3,3,1,3,3,2,3,2,1,-1,1,0,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,0,-1,0,1,0,-1,1,-1,1,1,-1,-1,1
45,18-25 ans,"Élèves, étudiants",Homme,0 days 00:04:12.000000000,0 days 00:01:05.000000000,0 days 00:02:10.000000000,0 days 00:00:39.000000000,2,1,1,3,2,2,2,3,2,3,2,0,1,2,1,2,1,2,2,3,2,3,3,1,1,1,3,2,1,2,1,2,3,2,1,-1,-1,1,-1,1,-1,0,-1,1,1,0,-1,-1,0,1,-1,-1,-1,1,0,-1,1,-1,0,0,-1,1,0,-1,1,-1,0,0
46,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:25.000000000,0 days 00:00:26.000000000,0 days 00:01:21.000000000,0 days 00:00:22.000000000,3,0,1,3,2,3,1,3,2,3,2,1,2,1,1,2,1,2,1,1,3,2,2,3,3,3,3,2,1,1,2,2,2,1,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,0,0,0,1,1,-1,1,-1,1,-1,0,1,1,0,0,-1,0,0,0,1
47,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:29.000000000,0 days 00:01:06.000000000,0 days 00:00:49.000000000,0 days 00:00:29.000000000,2,1,2,3,2,3,2,2,3,3,1,1,0,1,1,1,1,2,2,1,3,1,2,2,3,1,1,2,1,1,2,3,3,3,0,-1,0,1,-1,1,-1,1,-1,-1,1,1,0,-1,0,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,0,-1,-1,1,1,0,-1,1
48,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:45.000000000,0 days 00:02:54.000000000,0 days 00:01:00.000000000,0 days 00:00:57.000000000,2,1,1,3,1,3,2,3,1,3,2,2,1,2,2,1,2,2,2,1,2,2,3,2,2,2,3,1,2,1,3,1,2,2,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,1,0,0,1,-1,0,1,-1,1,-1,-1,1,-1,1,0,-1,-1,1,0,0
49,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:08.000000000,0 days 00:00:42.000000000,0 days 00:00:43.000000000,0 days 00:00:25.000000000,2,2,3,2,1,3,2,2,1,2,1,2,2,1,1,1,3,1,3,2,3,2,3,3,3,3,3,2,3,1,2,2,1,2,-1,1,-1,1,-1,1,-1,1,1,1,-1,0,0,0,0,0,1,0,-1,1,-1,0,1,-1,1,0,-1,0,1,0,0,-1,-1,1
50,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:29.000000000,0 days 00:01:07.000000000,0 days 00:04:33.000000000,0 days 00:00:37.000000000,2,1,1,3,1,3,2,3,1,3,2,2,1,2,2,1,2,2,2,2,3,2,2,3,2,2,3,3,1,2,2,2,1,1,1,0,-1,-1,1,1,-1,0,-1,1,-1,1,-1,-1,0,0,-1,1,-1,0,0,1,0,-1,1,0,-1,0,1,1,-1,1,-1,1
51,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:59.000000000,0 days 00:00:23.000000000,0 days 00:00:41.000000000,0 days 00:00:36.000000000,2,1,1,3,3,3,1,3,2,3,2,0,2,2,0,2,1,3,1,1,3,3,3,2,2,3,3,3,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,1,-1,-1,-1,1,-1,1,1,0,1,-1
52,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:24.000000000,0 days 00:00:30.000000000,0 days 00:00:40.000000000,0 days 00:00:15.000000000,3,0,1,1,2,2,1,2,2,3,2,2,1,1,1,3,2,1,2,1,2,1,2,3,1,1,3,2,1,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,0,-1,-1,0,1,-1,1,-1,-1,-1,1,-1,1
53,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:46.000000000,0 days 00:01:21.000000000,0 days 00:09:01.000000000,0 days 00:00:33.000000000,1,2,1,1,3,2,1,3,1,3,2,1,2,3,2,3,2,3,1,1,3,2,2,2,1,3,3,3,1,2,1,1,2,3,1,0,-1,1,1,0,-1,1,-1,1,-1,1,0,-1,1,-1,-1,1,-1,1,1,0,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1
54,18-25 ans,"Élèves, étudiants",Femme,0 days 00:00:56.000000000,0 days 00:00:12.000000000,0 days 00:00:34.000000000,0 days 00:00:30.000000000,2,1,1,3,2,3,2,3,2,3,2,1,1,2,1,1,1,3,1,3,2,2,3,2,2,2,3,1,3,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:20.000000000,0 days 00:00:29.000000000,0 days 00:00:49.000000000,0 days 00:00:29.000000000,3,0,2,2,1,3,1,2,2,3,2,2,1,2,1,2,2,2,2,2,3,2,1,3,2,2,3,2,1,2,2,3,2,1,0,0,0,1,0,-1,1,-1,0,0,1,-1,0,0,1,0,-1,-1,1,-1,0,1,0,0,0,0,0,-1,1,0,0,1,0,0
56,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:29.000000000,0 days 00:00:37.000000000,0 days 00:01:14.000000000,0 days 00:00:47.000000000,2,1,1,3,1,3,1,3,2,3,2,2,2,2,2,2,1,2,1,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,1,-1,1,0,-1,0,1,0,1,-1,0,1
57,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:24.000000000,0 days 00:00:39.000000000,0 days 00:01:26.000000000,0 days 00:00:25.000000000,0,3,1,2,1,2,1,1,2,3,1,1,2,2,1,3,1,3,1,2,3,1,2,2,3,3,3,3,2,1,2,3,2,2,0,1,-1,-1,0,1,0,-1,0,1,-1,1,-1,0,-1,1,-1,-1,-1,1,1,0,-1,0,0,-1,-1,1,-1,0,-1,1,-1,-1
58,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:21.000000000,0 days 00:02:25.000000000,0 days 00:01:50.000000000,0 days 00:00:33.000000000,2,1,1,3,2,3,1,3,3,3,2,1,2,2,1,2,0,2,1,2,1,2,2,2,1,1,3,2,1,3,1,1,2,2,1,-1,0,0,1,-1,0,1,-1,0,0,-1,1,-1,1,-1,0,1,0,0,0,-1,1,0,0,-1,1,0,-1,0,0,-1,1,-1
59,18-25 ans,"Élèves, étudiants",Femme,0 days 00:05:10.000000000,0 days 00:00:42.000000000,0 days 00:01:11.000000000,0 days 00:00:34.000000000,1,2,1,2,3,1,1,3,1,3,1,2,2,3,1,0,2,1,3,1,2,2,3,1,3,2,2,2,1,2,3,2,2,2,1,-1,-1,1,-1,0,0,1,-1,0,1,-1,1,-1,0,0,1,0,1,-1,0,-1,1,0,-1,1,1,-1,0,-1,0,-1,1,1
60,18-25 ans,"Élèves, étudiants",Femme,0 days 00:00:42.000000000,0 days 00:01:07.000000000,0 days 00:01:14.000000000,0 days 00:00:31.000000000,1,3,2,2,3,2,2,2,1,2,0,1,2,1,1,2,1,1,2,1,1,3,2,1,3,2,3,1,3,2,2,3,1,2,-1,1,0,0,-1,1,-1,0,-1,0,0,1,-1,1,-1,0,-1,1,-1,0,1,-1,0,0,1,0,0,1,-1,1,-1,-1,0,1
61,18-25 ans,"Élèves, étudiants",Homme,0 days 00:02:23.000000000,0 days 00:00:32.000000000,0 days 00:01:48.000000000,0 days 00:00:30.000000000,2,1,2,2,2,3,1,3,2,3,2,1,2,3,2,2,1,1,2,2,2,3,3,2,1,2,3,2,1,3,2,2,2,1,0,1,0,-1,0,1,0,-1,0,1,-1,1,-1,1,-1,1,-1,0,0,1,0,-1,1,0,-1,1,0,1,0,-1,1,-1,1,0
62,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:13.000000000,0 days 00:02:24.000000000,0 days 00:00:47.000000000,0 days 00:00:18.000000000,1,2,2,2,1,3,1,2,2,3,2,2,1,2,1,2,2,1,2,2,2,2,3,3,3,1,3,1,2,1,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,1,1,0,-1,0,1,-1,1,-1,-1,0,1,-1
63,26-35 ans,"Élèves, étudiants",Femme,0 days 00:01:17.000000000,0 days 00:00:21.000000000,0 days 00:00:47.000000000,0 days 00:00:23.000000000,1,2,2,1,2,2,2,3,2,3,1,2,1,2,3,2,1,1,2,1,3,1,2,1,3,1,3,2,2,3,2,3,1,3,1,-1,0,-1,0,1,-1,1,-1,1,-1,1,-1,-1,-1,0,0,0,1,-1,1,0,0,0,-1,1,1,-1,0,-1,0,1,0,0
64,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:44.000000000,0 days 00:00:31.000000000,0 days 00:01:07.000000000,0 days 00:00:30.000000000,2,1,1,3,2,1,1,2,1,3,2,1,3,2,1,2,3,3,1,2,2,2,3,3,3,2,3,2,1,2,1,2,2,2,-1,0,1,-1,1,-1,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,0,0,0,1,0,0,0,0,-1,0,1,0,0,1,0,0
65,56-65 ans,Cadres et professions intellectuelles supérieures,Femme,0 days 00:02:50.000000000,0 days 00:00:41.000000000,0 days 00:02:38.000000000,0 days 00:00:35.000000000,2,2,1,2,2,1,1,2,1,2,1,3,3,1,2,2,3,2,3,3,2,2,3,3,3,1,2,2,1,2,1,2,1,2,-1,0,0,1,-1,-1,0,1,-1,-1,1,-1,1,0,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,0,0,-1,0,-1,0,0
66,18-25 ans,"Artisans, commerçants, chefs d'entreprise",Autre,0 days 00:01:59.000000000,0 days 00:01:06.000000000,0 days 00:01:50.000000000,0 days 00:00:41.000000000,1,3,1,2,1,3,1,3,1,2,1,2,2,2,1,2,2,1,2,1,3,3,2,2,2,2,3,2,3,2,2,1,3,1,-1,-1,-1,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,0,-1,1,1,-1,1,1
67,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:42.000000000,0 days 00:00:35.000000000,0 days 00:01:11.000000000,0 days 00:00:33.000000000,1,1,1,1,2,1,3,3,2,2,2,1,0,2,1,2,1,3,2,2,3,2,3,2,3,2,3,2,1,2,1,2,3,3,0,1,-1,0,0,0,1,-1,1,1,-1,0,0,0,0,1,0,-1,-1,1,-1,1,-1,1,1,-1,-1,0,0,1,0,0,1,-1
68,18-25 ans,"Élèves, étudiants",Homme,0 days 00:00:49.000000000,0 days 00:00:49.000000000,0 days 00:01:03.000000000,0 days 00:01:00.000000000,2,1,2,2,2,3,2,2,1,3,2,1,2,1,2,1,1,2,3,1,1,3,2,2,3,2,3,2,2,2,3,3,3,1,1,0,-1,0,1,-1,1,-1,1,1,-1,-1,0,-1,1,0,-1,-1,1,-1,0,-1,0,1,0,0,1,-1,-1,1,1,-1,1,0
69,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:00.000000000,0 days 00:00:28.000000000,0 days 00:01:15.000000000,0 days 00:00:16.000000000,3,1,1,1,1,2,1,2,1,2,2,3,1,0,2,1,3,2,2,3,2,2,3,1,3,1,3,1,2,2,3,3,2,3,-1,0,0,1,0,-1,0,1,0,-1,1,-1,1,0,1,-1,1,0,1,0,0,0,-1,0,1,0,1,0,-1,1,1,0,-1,1
70,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:04.000000000,0 days 00:00:54.000000000,0 days 00:01:14.000000000,0 days 00:00:17.000000000,0,3,2,3,2,2,3,2,2,3,1,2,1,1,1,1,2,3,1,2,1,3,3,2,2,2,2,3,1,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,-1,0,0,-1,-1,-1,1,0,0,1,-1,-1
71,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:31.000000000,0 days 00:00:36.000000000,0 days 00:01:34.000000000,0 days 00:00:39.000000000,1,2,1,2,0,2,3,2,0,3,1,2,1,3,2,1,2,2,2,3,2,3,3,3,2,1,3,2,2,3,1,1,1,1,1,0,-1,1,0,-1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1,1,0,1,-1,1,-1,0,1,-1,1,-1,0,1,1,0,-1,0
72,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:54.000000000,0 days 00:00:19.000000000,0 days 00:01:35.000000000,0 days 00:00:31.000000000,3,0,1,2,2,1,1,1,2,3,1,1,2,1,2,2,3,2,1,1,2,2,3,2,3,3,3,3,2,3,2,1,2,1,0,0,0,1,-1,0,-1,0,1,0,1,-1,-1,0,0,-1,1,0,1,0,-1,1,0,-1,0,1,1,-1,1,-1,1,0,-1,1
73,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:58.000000000,0 days 00:00:53.000000000,0 days 00:01:33.000000000,0 days 00:00:36.000000000,2,1,1,2,1,3,1,2,2,3,1,2,1,2,3,2,2,3,1,1,2,3,3,2,1,2,3,2,1,1,2,2,2,2,-1,0,1,1,0,-1,1,-1,1,-1,1,-1,0,1,1,0,0,1,-1,1,1,0,0,1,0,-1,-1,1,0,1,-1,1,1,-1
74,18-25 ans,"Élèves, étudiants",Femme,0 days 00:00:57.000000000,0 days 00:00:37.000000000,0 days 00:00:51.000000000,0 days 00:00:24.000000000,2,1,1,3,2,3,1,2,3,3,2,1,3,2,1,2,1,2,2,1,1,2,3,2,1,3,3,1,2,3,3,1,2,2,-1,-1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,-1,1,1,-1,1,-1,1,0,-1,1
75,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:35.000000000,0 days 00:00:43.000000000,0 days 00:00:52.000000000,0 days 00:00:49.000000000,1,2,2,3,1,3,3,3,2,3,1,2,0,2,2,0,1,1,3,3,3,2,3,2,2,3,2,1,1,2,1,3,1,2,1,1,-1,-1,0,1,-1,1,-1,1,-1,1,0,1,-1,0,1,0,1,-1,1,-1,0,-1,1,-1,1,0,-1,1,0,1,-1,-1
76,18-25 ans,"Élèves, étudiants",Femme,0 days 00:01:04.000000000,0 days 00:00:36.000000000,0 days 00:01:22.000000000,0 days 00:00:39.000000000,2,1,1,3,2,3,1,3,1,3,2,1,2,2,1,2,2,2,2,1,3,2,3,2,2,2,3,3,2,2,3,2,1,3,1,0,-1,0,0,1,-1,0,0,1,-1,1,-1,-1,0,0,0,1,0,-1,1,0,-1,0,1,0,1,0,-1,1,-1,1,-1,1
77,18-25 ans,"Élèves, étudiants",Femme,0 days 00:02:20.000000000,0 days 00:01:21.000000000,0 days 00:00:45.000000000,0 days 00:00:29.000000000,1,1,1,2,3,2,2,1,2,2,1,1,1,2,1,2,3,2,2,3,2,2,1,3,3,1,3,2,3,1,1,2,3,3,1,-1,1,0,1,-1,0,1,-1,-1,1,0,1,-1,1,-1,0,-1,0,1,1,-1,-1,0,0,0,-1,1,-1,0,1,0,-1,0
78,18-25 ans,"Élèves, étudiants",Femme,0 days 00:03:06.000000000,0 days 00:00:46.000000000,0 days 00:01:33.000000000,0 days 00:00:43.000000000,1,1,2,3,1,3,0,2,1,2,1,2,2,1,2,3,1,3,1,2,2,1,3,2,3,2,3,3,3,1,1,3,2,2,-1,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,1,-1,-1,1,0,-1,1,-1,1,0,1,-1,0,-1,1,0,0
79,18-25 ans,"Élèves, étudiants",Femme,0 days 00:03:19.000000000,0 days 00:01:36.000000000,0 days 00:00:55.000000000,0 days 00:00:30.000000000,2,2,3,2,2,2,3,2,1,2,1,2,1,1,0,1,1,3,3,1,2,2,3,1,2,1,2,2,2,2,2,2,3,2,1,1,-1,1,-1,1,0,1,-1,1,0,-1,1,-1,0,1,-1,1,1,0,-1,1,-1,1,1,-1,1,-1,0,1,1,0,-1,-1
80,18-25 ans,"Élèves, étudiants",Femme,0 days 00:00:58.000000000,0 days 00:00:26.000000000,0 days 00:00:41.000000000,0 days 00:00:18.000000000,1,2,2,3,1,3,2,1,3,3,1,2,1,2,2,1,2,1,2,2,2,3,3,2,1,3,3,1,1,2,3,3,2,2,1,1,0,-1,0,1,-1,1,-1,1,-1,1,0,1,-1,1,-1,1,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,-1,1
