,age,csp,gen,td1,td2,td3,td4,s_p_ms_1,s_p_ms_2,s_p_ms_3,s_p_ms_4,s_p_ms_5,s_p_ms_6,s_p_ms_7,s_p_ms_8,s_p_ms_9,s_p_mm_1,s_p_mm_2,s_p_mm_3,s_p_mm_4,s_p_ss_1,s_p_ss_2,s_p_ss_3,s_p_ss_4,s_v_ms_1,s_v_ms_2,s_v_ms_3,s_v_ms_4,s_v_ms_5,s_v_ms_6,s_v_ms_7,s_v_ms_8,s_v_ms_9,s_v_mm_1,s_v_mm_2,s_v_mm_3,s_v_mm_4,s_v_ss_1,s_v_ss_2,s_v_ss_3,s_v_ss_4,n_p_ms_1,n_p_ms_2,n_p_ms_3,n_p_ms_4,n_p_ms_5,n_p_ms_6,n_p_ms_7,n_p_ms_8,n_p_ms_9,n_p_mm_1,n_p_mm_2,n_p_mm_3,n_p_mm_4,n_p_ss_1,n_p_ss_2,n_p_ss_3,n_p_ss_4,n_v_ms_1,n_v_ms_2,n_v_ms_3,n_v_ms_4,n_v_ms_5,n_v_ms_6,n_v_ms_7,n_v_ms_8,n_v_ms_9,n_v_mm_1,n_v_mm_2,n_v_mm_3,n_v_mm_4,n_v_ss_1,n_v_ss_2,n_v_ss_3,n_v_ss_4
30,18-25 ans,"Élèves, étudiants",Femme,80,39,45,26,3,0,1,2,1,3,1,2,1,3,1,2,1,1,1,2,1,2,2,2,2,1,2,3,2,3,2,3,1,3,3,2,2,2,-1,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,1,0,-1,-1,0,1,0,0,1,-1,1,-1,1,0,-1,-1,1,1,-1
31,18-25 ans,"Élèves, étudiants",Homme,58,45,65,26,2,2,1,2,2,2,1,1,1,2,1,2,2,1,0,3,0,3,3,2,1,3,2,3,2,2,1,3,2,1,1,2,2,2,-1,1,-1,-1,1,0,1,-1,1,1,-1,1,0,1,0,1,0,-1,1,0,0,0,1,0,-1,1,0,0,1,-1,1,0,1,0
32,18-25 ans,"Élèves, étudiants",Homme,84,54,49,41,3,0,1,3,1,3,1,3,1,3,2,2,2,1,2,2,2,2,2,2,3,1,2,1,1,2,3,2,2,2,1,2,3,3,1,0,-1,-1,1,0,0,-1,-1,1,-1,1,-1,-1,0,0,-1,0,-1,1,-1,0,-1,0,1,1,-1,1,-1,1,1,-1,-1,1
33,18-25 ans,"Élèves, étudiants",Femme,93,29,79,26,2,1,1,3,2,3,2,3,2,3,2,1,1,2,1,1,1,2,3,2,2,1,1,2,3,1,3,2,2,2,2,1,3,2,0,1,1,-1,-1,1,-1,1,1,1,-1,1,0,1,-1,1,1,-1,1,0,-1,1,0,0,1,1,0,-1,1,1,1,-1,0,1
34,18-25 ans,"Élèves, étudiants",Femme,127,35,138,34,1,2,2,2,2,3,2,2,2,3,2,1,2,2,2,1,2,1,3,3,3,1,3,1,3,2,3,2,3,2,1,3,2,2,1,-1,0,1,-1,1,0,0,-1,-1,1,-1,0,-1,0,1,-1,-1,1,-1,1,0,-1,1,0,-1,0,0,-1,1,0,1,1,-1
35,18-25 ans,"Élèves, étudiants",Homme,95,50,128,30,3,0,2,3,1,3,2,3,1,3,1,2,1,2,2,1,2,2,1,1,2,3,2,3,3,3,3,3,2,1,2,3,3,2,0,0,-1,1,-1,1,-1,1,-1,0,1,0,0,-1,1,-1,1,-1,0,0,0,1,0,-1,1,0,-1,0,1,0,0,1,-1,1
36,18-25 ans,"Élèves, étudiants",Femme,172,49,117,50,1,1,3,2,3,3,1,2,3,2,1,0,1,2,1,2,1,2,3,1,2,1,2,2,3,1,2,3,3,3,3,3,2,2,1,1,-1,1,-1,1,-1,-1,1,1,-1,0,-1,-1,1,-1,1,-1,1,-1,1,1,1,0,-1,1,1,-1,1,-1,-1,1,1,-1
37,18-25 ans,"Élèves, étudiants",Femme,140,39,169,16,3,0,1,2,2,1,2,3,1,3,1,1,1,1,2,1,2,1,2,1,3,2,2,1,2,2,2,2,1,2,1,3,1,2,-1,0,1,-1,1,-1,1,-1,1,-1,0,0,0,1,0,0,0,-1,1,0,-1,1,-1,-1,1,-1,0,-1,0,0,1,0,-1,0
38,18-25 ans,"Élèves, étudiants",Femme,126,74,94,43,3,0,2,3,1,3,2,3,1,3,1,2,1,2,2,1,2,3,2,2,2,3,3,2,2,2,2,3,1,2,2,3,2,2,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,0,1,-1,1,1,-1,-1,0,-1,0,1,-1
39,18-25 ans,"Élèves, étudiants",Femme,94,48,76,21,2,1,1,2,1,2,2,2,1,3,1,3,2,2,3,2,3,1,2,2,3,1,2,2,1,2,3,1,2,3,3,3,3,2,1,0,-1,1,0,-1,1,-1,0,1,0,-1,0,-1,1,0,-1,1,-1,1,0,-1,-1,-1,1,1,0,1,-1,0,0,-1,-1,1
40,18-25 ans,"Élèves, étudiants",Femme,113,162,68,27,1,2,1,3,2,3,1,3,2,3,2,1,2,3,1,2,1,3,1,3,2,2,2,3,3,1,2,2,3,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,-1,0,1,-1,0,-1,1,-1,0,1,0,1,-1
41,18-25 ans,"Élèves, étudiants",Femme,122,111,122,29,2,1,1,3,2,3,1,2,3,3,2,1,1,2,1,2,1,3,2,1,3,1,3,2,2,2,3,2,3,2,2,3,3,2,-1,-1,1,1,0,-1,0,1,-1,-1,1,-1,1,0,1,-1,0,0,-1,1,1,-1,0,0,1,0,-1,1,-1,1,-1,0,0,1
42,18-25 ans,"Élèves, étudiants",Femme,64,39,81,37,2,0,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,3,1,2,1,2,3,2,3,1,1,2,3,1,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,0,0,0,1,0,-1,1,-1,1,0,0,0,1,1,-1,0,-1,-1,1,0
43,18-25 ans,"Élèves, étudiants",Femme,79,39,73,26,1,2,1,3,1,3,0,3,2,3,2,2,3,1,2,3,1,1,1,3,2,1,3,3,2,2,2,3,3,1,3,1,1,2,-1,1,0,0,-1,1,0,-1,1,-1,0,1,-1,1,-1,1,-1,-1,0,-1,1,-1,1,-1,1,-1,-1,1,0,-1,-1,1,-1,1
44,18-25 ans,"Élèves, étudiants",Autre,96,51,88,31,2,1,2,3,2,3,1,3,2,3,1,1,2,1,1,2,1,2,2,2,3,2,2,2,3,3,3,1,3,3,2,3,2,1,-1,1,0,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,0,-1,0,1,0,-1,1,-1,1,1,-1,-1,1
45,18-25 ans,"Élèves, étudiants",Homme,252,65,130,39,2,1,1,3,2,2,2,3,2,3,2,0,1,2,1,2,1,2,2,3,2,3,3,1,1,1,3,2,1,2,1,2,3,2,1,-1,-1,1,-1,1,-1,0,-1,1,1,0,-1,-1,0,1,-1,-1,-1,1,0,-1,1,-1,0,0,-1,1,0,-1,1,-1,0,0
46,18-25 ans,"Élèves, étudiants",Femme,85,26,81,22,3,0,1,3,2,3,1,3,2,3,2,1,2,1,1,2,1,2,1,1,3,2,2,3,3,3,3,2,1,1,2,2,2,1,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,0,0,0,1,1,-1,1,-1,1,-1,0,1,1,0,0,-1,0,0,0,1
47,18-25 ans,"Élèves, étudiants",Femme,149,66,49,29,2,1,2,3,2,3,2,2,3,3,1,1,0,1,1,1,1,2,2,1,3,1,2,2,3,1,1,2,1,1,2,3,3,3,0,-1,0,1,-1,1,-1,1,-1,-1,1,1,0,-1,0,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,0,-1,-1,1,1,0,-1,1
48,18-25 ans,"Élèves, étudiants",Femme,165,174,60,57,2,1,1,3,1,3,2,3,1,3,2,2,1,2,2,1,2,2,2,1,2,2,3,2,2,2,3,1,2,1,3,1,2,2,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,1,0,0,1,-1,0,1,-1,1,-1,-1,1,-1,1,0,-1,-1,1,0,0
49,18-25 ans,"Élèves, étudiants",Femme,68,42,43,25,2,2,3,2,1,3,2,2,1,2,1,2,2,1,1,1,3,1,3,2,3,2,3,3,3,3,3,2,3,1,2,2,1,2,-1,1,-1,1,-1,1,-1,1,1,1,-1,0,0,0,0,0,1,0,-1,1,-1,0,1,-1,1,0,-1,0,1,0,0,-1,-1,1
50,18-25 ans,"Élèves, étudiants",Femme,89,67,273,37,2,1,1,3,1,3,2,3,1,3,2,2,1,2,2,1,2,2,2,2,3,2,2,3,2,2,3,3,1,2,2,2,1,1,1,0,-1,-1,1,1,-1,0,-1,1,-1,1,-1,-1,0,0,-1,1,-1,0,0,1,0,-1,1,0,-1,0,1,1,-1,1,-1,1
51,18-25 ans,"Élèves, étudiants",Femme,119,23,41,36,2,1,1,3,3,3,1,3,2,3,2,0,2,2,0,2,1,3,1,1,3,3,3,2,2,3,3,3,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,1,-1,-1,-1,1,-1,1,1,0,1,-1
